@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,13-14,25-26,31,56,64,81,87-88,91,93,112,114,117-118,124,132,156,161,170-171,242,247-248,266,310,315,342,348-349,364,387,389-390,423,431,487,517-518,530,543,552,576,594-595,604,617,656-657,697,700,704,733-734,757,786,834-835,869,885,893-894,926,925'

@attribute PESO_4_lag11 numeric
@attribute PESO_5_lag11 numeric
@attribute VALOR_5_lag11 numeric
@attribute PESO_9_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute PESO_2_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute VALOR_4_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_6_lag10 numeric
@attribute VALOR_12_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute VALOR_16_lag10 numeric
@attribute PESO_19_lag10 numeric
@attribute VALOR_1_lag9 numeric
@attribute PESO_3_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute VALOR_12_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_12_lag7 numeric
@attribute PESO_14_lag7 numeric
@attribute VALOR_14_lag7 numeric
@attribute VALOR_19_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_2_lag6 numeric
@attribute VALOR_2_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_9_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_23_lag5 numeric
@attribute PESO_2_lag4 numeric
@attribute PESO_5_lag4 numeric
@attribute PESO_13_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_19_lag4 numeric
@attribute VALOR_22_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_14_lag3 numeric
@attribute VALOR_14_lag3 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_14_lag2 numeric
@attribute VALOR_14_lag2 numeric
@attribute PESO_22_lag2 numeric
@attribute PESO_6_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute PESO_8_lag0 numeric
@attribute VALOR_13_lag0 numeric
@attribute PESO_16_lag0 numeric
@attribute VALOR_16_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead1 numeric

@data
1112172,126,6390.12,288560,611353.41,3751,183115.55,1179117,51938,80833,152238.9,3168.93,141427,215308.77,0,50195,23580.51,63625.17,40073,57069.4,2620497,111794,389519.41,175568.22,105744,355449.56,95899.19,1241.26,2675011,8801628,0,0,211212.06,0,28949,164033.53,15984.83,23903,166944,35183,95177.15,2538371.4,28780,344,0,90445,247827.4,2426508.28,3189,24423,10176.34,953779,3346391,241132.16,24049,8573,1083855,78352,1257053,3538525.3,1798532,649.28,78128,215721.59,4799001,3732375
80833,55,3168.93,365419,770023,160,143677.58,898453,18889,149275,293535.01,221983.14,111794,69742.64,200,5,57,243519.94,54477,7133.61,2658367,105744,355449.56,146860.63,44234,171660.78,2241634.09,0,3023868,12027661,8,46,77838.9,80.96,436292,447013.52,7.25,42078,237377,90445,247827.4,1295384.52,47020,49,1,68522,158684.46,2261931.54,22455,24049,8573,38260,6077820,245904.38,817,2930.04,1257053,142697,1030377,1977077.18,3732375,21505.56,33613,53825.61,8419038,4799001
149275,22231,221983.14,263565,531688.15,330,138615.55,747336,610033,128886,175568.22,4954.4,105744,95899.19,58080,31105,13872.47,88359.02,67090,1241.26,2675011,44234,171660.78,278604.56,61973,281812.97,2375362.11,80.96,4945797,25268862,627,2654.65,95177.15,24726.61,28780,220900.24,0,68354,371147,68522,158684.46,3738895.25,953779,48,50,34512,105826.01,2262517.93,0,817,2930.04,58372,5125205,300114.91,24072,8862.19,1030377,142722,1374175,1621881.1,4799001,0,71996,184979.04,3696543,8419038
128886,294,4954.4,285513,671460.24,12,224764.84,929046,591995,92984,146860.63,2884.2,44234,2241634.09,0,0,0,196394.79,90141,0,3023868,61973,281812.97,350185.9,104158,372821.04,4691631.51,24726.61,2545104,4902846,96,318.17,247827.4,66934.29,47020,258874.15,81.73,38850,328315,34512,105826.01,2310593.12,38260,3078,64,44204,125176.75,3538525.3,0,24072,8862.19,440982,3115258,337868.11,420,351.46,1374175,155865,1613547,2399691.86,8419038,14752.5,20819,54038.19,1015856,3696543
92984,89,2884.2,440479,916758.87,808,211212.06,1055663,28949,344169,278604.56,9899.97,61973,2375362.11,450,8,46,253723.81,31388,80.96,4945797,104158,372821.04,328996.72,76632,394979.23,861367.09,66934.29,2689880,3000096,24423,10176.34,158684.46,248231.21,953779,877627.71,987.68,26170,471439,44204,125176.75,3130116.77,58372,27683,6,34298,90555.97,1977077.18,38,420,351.46,24859,2449005,285242.56,88,349.55,1613547,112972,2282073,3197344.1,3696543,123129.25,52128,166960.1,1791627,1015856
344169,469,9899.97,97963,247983.49,264,77838.9,1239772,436292,390348,350185.9,37984.09,104158,4691631.51,0,627,2654.65,114155.38,35183,24726.61,2545104,76632,394979.23,237800.42,64430,346879.2,466200.68,248231.21,3346391,1101100,24049,8573,105826.01,0,38260,229241.38,1505.98,61299,439311,34298,90555.97,3443705.64,440982,58,476,46690,185897.22,1621881.1,15050,88,349.55,19210,2855971,357924.48,2134,10695.62,2282073,104809,1647984,1778983.66,1015856,0,17092,137026.81,4960501,1791627
390348,7173,37984.09,166944,336731.73,276,95177.15,821073,28780,334325,328996.72,6005.93,76632,861367.09,0,96,318.17,153012.57,90445,66934.29,2689880,64430,346879.2,241132.16,47305,221659.08,211577.55,0,6077820,66,817,2930.04,125176.75,0,58372,405213.73,649.28,78128,464319,46690,185897.22,2913638.21,24859,189,0,57719,231086.52,2399691.86,115,2134,10695.62,503816,2095038,93480.94,3014,1071.39,1647984,123296,667477,770265.08,1791627,42377.5,66300,157781.25,2783273,4960501
334325,344,6005.93,237377,502386.36,234,247827.4,1040839,47020,196092,237800.42,743.81,64430,466200.68,1,24423,10176.34,61065.8,68522,248231.21,3346391,47305,221659.08,245904.38,78352,363058.79,8782.58,0,5125205,18153,24072,8862.19,90555.97,5600.63,440982,468804.27,21505.56,33613,459047,57719,231086.52,5249678.25,19210,394,625,46561,105812,3197344.1,0,3014,1071.39,15932,2666062,304466.02,59,311.28,667477,85961,914529,1802217.15,4960501,77818.86,51173,149976.66,3227532,2783273
196092,49,743.81,371147,740044.14,9204,158684.46,1271612,953779,233037,241132.16,600.13,47305,211577.55,50,24049,8573,122200.28,34512,0,6077820,78352,363058.79,300114.91,142697,493520.69,111190.88,5600.63,3115258,46874,420,351.46,185897.22,47360,24859,153380.87,0,71996,289468,46561,105812,3414539.32,503816,26,5140,19812,84097.39,1778983.66,17000,59,311.28,27448,2314994,155438.55,87,373,914529,83912,942957,1560793.41,2783273,0,116973,264322.74,3549058,3227532
233037,48,600.13,328315,633447.12,2791,105826.01,1083855,38260,167817,245904.38,61495.16,78352,8782.58,64,817,2930.04,87882.14,44204,0,5125205,142697,493520.69,337868.11,142722,513071.07,153749.25,47360,2449005,2449,88,349.55,231086.52,4451.45,19210,181682.69,14752.5,20819,354209,19812,84097.39,2479940.17,15932,2941,0,34647,70393.74,770265.08,0,87,373,1158733,2577410,459593.51,24444,10031.93,942957,73582,803946,736443.84,3227532,0,53167,119101.83,2515941,3549058
