@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R7,31-32,44,52,79,102,129,138-139,141,162,173,185-186,192,215-216,286,319,339-340,373,386,431,437,443,473,487-488,514,523-524,591-592,594,621,626-627,701,704,736,745-746,771,780,793,801-802,810-811,823,826,864,873,899-900,928'

@attribute PESO_3_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_11_lag11 numeric
@attribute VALOR_15_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute VALOR_1_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute PESO_18_lag10 numeric
@attribute PESO_21_lag10 numeric
@attribute VALOR_21_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_3_lag9 numeric
@attribute PESO_7_lag9 numeric
@attribute PESO_11_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_13_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute PESO_19_lag8 numeric
@attribute VALOR_4_lag7 numeric
@attribute PESO_11_lag7 numeric
@attribute VALOR_11_lag7 numeric
@attribute VALOR_22_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute PESO_20_lag6 numeric
@attribute VALOR_4_lag5 numeric
@attribute PESO_9_lag5 numeric
@attribute VALOR_9_lag5 numeric
@attribute PESO_18_lag5 numeric
@attribute PESO_21_lag5 numeric
@attribute VALOR_21_lag5 numeric
@attribute PESO_18_lag4 numeric
@attribute VALOR_18_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_2_lag3 numeric
@attribute PESO_4_lag3 numeric
@attribute VALOR_4_lag3 numeric
@attribute VALOR_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_15_lag2 numeric
@attribute PESO_18_lag2 numeric
@attribute VALOR_18_lag2 numeric
@attribute PESO_1_lag1 numeric
@attribute PESO_4_lag1 numeric
@attribute VALOR_8_lag1 numeric
@attribute PESO_11_lag1 numeric
@attribute VALOR_11_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute VALOR_18_lag1 numeric
@attribute VALOR_19_lag1 numeric
@attribute VALOR_6_lag0 numeric
@attribute VALOR_9_lag0 numeric
@attribute PESO_18_lag0 numeric
@attribute VALOR_18_lag0 numeric
@attribute PESO_7_ahead4 numeric

@data
4945797,276,375.26,2148419.87,63675,24726.61,237377,74159,83412,101520.61,1040839,13252530.78,1421997,9204,73416.43,81.73,58563,110715.38,34512,245904.38,201,373.01,3538525.3,0,78128,41706,294832,337868.11,464319,1184445.51,63626,39672,100551.23,22713,46877.58,57719,181682.69,360620,357924.48,13896753.21,93480.94,117,69442,311053.63,17000,278474,1478539.3,338,514.78,59,311.28,202007.5,70393.74,360602,435789.89,27737,108398.95,563552
2545104,234,461.87,15988.14,74159,66934.29,371147,27018,58563,110715.38,1271612,12531576.51,676069,2791,3756.38,987.68,24070,37963.4,44204,300114.91,25176,8504.63,1977077.18,38,33613,63626,83238,285242.56,459047,1240748.48,22713,25828,46758.04,75815,367306.93,46561,571875.95,44755,93480.94,18583574.39,304466.02,10111,52785,202007.5,0,115982,3279539.35,171,309.28,87,373,108398.95,108753.15,284026.1,281591.37,43858,120042.35,934037
2689880,9204,73416.43,2100928.43,27018,248231.21,328315,25800,24070,37963.4,1083855,19634617.07,1061285,201,373.01,1505.98,66805,78649.77,34298,337868.11,15026,6947.34,1621881.1,15050,71996,22713,67877,357924.48,289468,664454.93,75815,2372,15338.55,69442,311053.63,19812,113871.38,278474,304466.02,15487075.55,155438.55,7587,27737,108398.95,59127,313143,10402683.93,254,328.95,24444,10031.93,120042.35,242656.65,437706.14,148853.33,22167,81226.04,8356420
3346391,2791,3756.38,2575514.96,25800,0,471439,32883,66805,78649.77,1257053,22058347.88,357290,25176,8504.63,649.28,30582,65641.38,46690,285242.56,254,386.41,2399691.86,115,20819,75815,77855,93480.94,354209,892627.02,69442,8132,44592.2,52785,202007.5,34647,201781.18,115982,155438.55,15908271.6,459593.51,12772,43858,120042.35,16074,208690,3811339.39,285,445.82,51,235.58,81226.04,70092.69,295760.41,913612.92,16786,79364.81,866668
6077820,201,373.01,11558.65,32883,0,439311,41706,30582,65641.38,1030377,15012623.96,1072040,15026,6947.34,21505.56,39672,100551.23,57719,357924.48,12262,28889.12,3197344.1,0,52128,69442,71023,304466.02,518507,1242678.72,52785,51337,78288.37,27737,108398.95,53574,2115098.18,313143,459593.51,13758401.37,338135.75,4048331,22167,81226.04,3073,435797,4701173.86,10,112.27,24064,9303.61,79364.81,90890.87,261253.11,541004.96,19990,62234.36,1182016
5125205,25176,8504.63,200437.63,41706,5600.63,464319,63626,39672,100551.23,1374175,13702843.61,1310932,254,386.41,0,25828,46758.04,46561,93480.94,5967,4762.32,1778983.66,17000,17092,52785,68412,155438.55,213104,435789.89,27737,65790,73434.66,43858,120042.35,68150,284604.02,208690,338135.75,15653973.18,469935.16,8692,16786,79364.81,348,537418,5877498.55,17132,38771.21,131,432.21,62234.36,167280.5,341178.48,973934.63,26368,128630.06,1300326
3115258,15026,6947.34,68329.5,63626,47360,459047,22713,25828,46758.04,1613547,16206772.96,1569340,12262,28889.12,14752.5,2372,15338.55,19812,304466.02,338,514.78,770265.08,0,66300,27737,73569,459593.51,119922,281591.37,43858,6699,37842.97,22167,81226.04,33506,246306.55,435797,469935.16,10233698.2,571532.15,96349,19990,62234.36,49609,344123,4149411.56,232,249.88,24080,9145.16,128630.06,69432.92,422602.87,1101229.71,21448,99831.04,3265438
2449005,254,386.41,1536011.69,22713,4451.45,289468,75815,2372,15338.55,2282073,13896753.21,3179457,5967,4762.32,123129.25,8132,44592.2,34647,155438.55,171,309.28,1802217.15,59127,51173,43858,62094,338135.75,60001,148853.33,22167,6613,27766.46,16786,79364.81,34419,347937.18,537418,571532.15,23802493.18,351044.18,25091535,26368,128630.06,15036,301989,6486673.48,2443122,507653.88,181,713.75,99831.04,310482.37,473844.82,605468.74,23182,78026.16,10891638
2855971,12262,28889.12,967707.59,75815,0,354209,69442,8132,44592.2,1647984,18583574.39,2767615,338,514.78,0,51337,78288.37,53574,459593.51,254,328.95,1560793.41,16074,116973,22167,58747,469935.16,412222,913612.92,16786,11712,45553.95,19990,62234.36,42580,383720.91,344123,351044.18,22320570.88,317361.39,12099344,21448,99831.04,0,393699,1602091.88,18187,25313.09,1989,1561.74,78026.16,67800.2,569011.97,665243.22,25414,37672.42,4426497
2095038,5967,4762.32,785.22,69442,45144.76,518507,52785,51337,78288.37,667477,15487075.55,2487279,171,309.28,42377.5,65790,73434.66,68150,338135.75,285,445.82,736443.84,3073,53167,16786,62448,571532.15,241750,541004.96,19990,47700,115648.5,26368,128630.06,28039,264495.17,301989,317361.39,13434950.05,348863.49,27051,23182,78026.16,18501,552213,1403791.91,313,524.37,228,1345.02,37672.42,206546.06,470981.75,193214.84,697892,899362.77,3188769
2666062,338,514.78,12119.57,52785,0,213104,27737,65790,73434.66,914529,15908271.6,3663372,254,328.95,77818.86,6699,37842.97,33506,469935.16,10,112.27,2404891.54,348,34706,19990,85463,351044.18,424554,973934.63,26368,8493,46233.64,21448,99831.04,67554,378225.34,393699,348863.49,18729423.04,666198.47,146114,25414,37672.42,52167,320805,2849373.35,478,1826.95,772,2879.05,899362.77,330730.2,348511.66,301632.51,279827,762228.89,2974767
2314994,171,309.28,9023.45,27737,201236.73,119922,43858,6699,37842.97,942957,13758401.37,2370005,285,445.82,0,6613,27766.46,34419,571532.15,17132,38771.21,1422335.24,49609,121174,26368,54559,317361.39,489282,1101229.71,21448,12060,47977.91,23182,78026.16,28051,258297.74,552213,666198.47,15602584.32,378948.4,2002839,697892,899362.77,0,494276,2296914.93,4254,11754.58,275,1566.85,762228.89,94450.33,355040.37,596503.05,239247,693499.86,4204833
2577410,254,328.95,14821.27,43858,160369.8,60001,22167,6613,27766.46,803946,15653973.18,2240413,10,112.27,0,11712,45553.95,42580,351044.18,232,249.88,3584402.08,15036,23612,21448,83858,348863.49,280377,605468.74,23182,9497,42843.79,25414,37672.42,54444,226111.66,320805,378948.4,20087436.02,559500.84,2029946,279827,762228.89,24500,265673,2402024.01,287,420.59,22509,16400.27,693499.86,60090.24,371324.25,637502.75,155367,430093.49,4927018
2807037,285,445.82,2977703.98,22167,25010.13,412222,16786,11712,45553.95,1200091,10233698.2,563552,17132,38771.21,0,47700,115648.5,28039,317361.39,2443122,507653.88,1136206.75,0,48236,23182,117743,666198.47,340285,665243.22,25414,3454,35937.33,697892,899362.77,85417,510913.54,494276,559500.84,16676925.55,339562.41,18641702,239247,693499.86,16001,363369,4642711.69,18060,31441.05,150,4640.17,430093.49,108516.69,340448.55,612028.38,626309,1780987.87,9058866
3003554,10,112.27,10293.93,16786,6386.41,241750,19990,47700,115648.5,1317549,23802493.18,934037,232,249.88,0,8493,46233.64,67554,348863.49,18187,25313.09,2974003.8,18501,90859,25414,24067,378948.4,103177,193214.84,697892,14195,67325.04,279827,762228.89,65294,174249.83,265673,339562.41,18210614.61,467073.67,10027588,155367,430093.49,0,389862,5380113.81,153,512.66,13287,4672.3,1780987.87,81685.92,350343.78,474021.37,336067,981077.78,8036733
1611147,17132,38771.21,68332.52,19990,141495.5,424554,26368,8493,46233.64,2395921,22320570.88,8356420,2443122,507653.88,0,12060,47977.91,28051,666198.47,313,524.37,2748439.94,52167,39507,697892,116197,559500.84,158247,301632.51,279827,12591,81021.62,239247,693499.86,24636,115950.3,363369,467073.67,14074830.52,434501.15,19030554,626309,1780987.87,0,193140,6565793.89,0,0,54799,23315.16,981077.78,264234.29,335178.56,369476.86,311394,826663.16,13186744
3047992,232,249.88,15429010.58,26368,37630,489282,21448,12060,47977.91,1018227,13434950.05,866668,18187,25313.09,0,9497,42843.79,54444,378948.4,478,1826.95,3667163.36,0,29129,279827,119709,339562.41,324712,596503.05,239247,4755,27785.62,155367,430093.49,49826,538848,389862,434501.15,17316292.1,218112.17,29531,336067,981077.78,0,362412,3635973.9,30,221.59,396,3635.07,826663.16,96362.18,344813.61,704985.71,294369,850136.94,739023
