@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R19,26,37,64,68,87,90-91,102-103,133,164-165,168,170-171,189,191,201,209,233,247-248,324-325,360,387,392,419,441,464,466-467,500,550,594,618,620,629,653,672,713,775,777,810-811,828-829,834,863,911-912,915,925,927,926'

@attribute PESO_7_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute VALOR_23_lag11 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_5_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute VALOR_19_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute VALOR_4_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute VALOR_16_lag9 numeric
@attribute PESO_19_lag9 numeric
@attribute VALOR_1_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_3_lag6 numeric
@attribute PESO_12_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_2_lag5 numeric
@attribute VALOR_2_lag5 numeric
@attribute VALOR_13_lag5 numeric
@attribute VALOR_4_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_1_lag3 numeric
@attribute PESO_2_lag3 numeric
@attribute PESO_5_lag3 numeric
@attribute PESO_13_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute VALOR_7_lag2 numeric
@attribute VALOR_2_lag1 numeric
@attribute PESO_3_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute PESO_20_lag1 numeric
@attribute VALOR_20_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute PESO_6_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute VALOR_23_lag0 numeric
@attribute PESO_8_ahead1 numeric
@attribute PESO_8_ahead3 numeric
@attribute PESO_8_ahead2 numeric

@data
865174,611353.41,0,1179117,4042351.77,80833,55,3168.93,365419,770023,143677.58,149275,293535.01,221983.14,111794,389519.41,69742.64,200,243519.94,54477,7133.61,105744,355449.56,44234,171660.78,38258,0,3023868,12027661,77838.9,80.96,436292,447013.52,7.25,328996.72,90445,66934.29,47020,49,1,158684.46,571704.93,229241.38,6077820,817,2930.04,71970,88887.32,1257053,142697,1030377,1977077.18,3443705.64,3732375,8419038,4799001
1325578,770023,0,898453,2453432.11,149275,22231,221983.14,263565,531688.15,138615.55,128886,175568.22,4954.4,105744,355449.56,95899.19,58080,88359.02,67090,1241.26,44234,171660.78,61973,281812.97,55566,80.96,4945797,25268862,95177.15,24726.61,28780,220900.24,0,237800.42,68522,248231.21,953779,48,50,105826.01,702326.25,405213.73,5125205,24072,8862.19,294832,401658.55,1030377,142722,1374175,1621881.1,2913638.21,4799001,3696543,8419038
1495317,531688.15,200,747336,2721417.43,128886,294,4954.4,285513,671460.24,224764.84,92984,146860.63,2884.2,44234,171660.78,2241634.09,0,196394.79,90141,0,61973,281812.97,104158,372821.04,63675,24726.61,2545104,4902846,247827.4,66934.29,47020,258874.15,81.73,241132.16,34512,0,38260,3078,64,125176.75,321765.4,468804.27,3115258,420,351.46,83238,91854.49,1374175,155865,1613547,2399691.86,5249678.25,8419038,1015856,3696543
3047421,671460.24,58080,929046,3998669.5,92984,89,2884.2,440479,916758.87,211212.06,344169,278604.56,9899.97,61973,281812.97,2375362.11,450,253723.81,31388,80.96,104158,372821.04,76632,394979.23,74159,66934.29,2689880,3000096,158684.46,248231.21,953779,877627.71,987.68,245904.38,44204,0,58372,27683,6,90555.97,601613.27,153380.87,2449005,88,349.55,67877,91383.05,1613547,112972,2282073,3197344.1,3414539.32,3696543,1791627,1015856
2715935,916758.87,0,1055663,1358384.77,344169,469,9899.97,97963,247983.49,77838.9,390348,350185.9,37984.09,104158,372821.04,4691631.51,0,114155.38,35183,24726.61,76632,394979.23,64430,346879.2,27018,248231.21,3346391,1101100,105826.01,0,38260,229241.38,1505.98,300114.91,34298,5600.63,440982,58,476,185897.22,1049376.16,181682.69,2855971,2134,10695.62,77855,85264.33,2282073,104809,1647984,1778983.66,2479940.17,1015856,4960501,1791627
9780713,247983.49,450,1239772,2529010.63,390348,7173,37984.09,166944,336731.73,95177.15,334325,328996.72,6005.93,76632,394979.23,861367.09,0,153012.57,90445,66934.29,64430,346879.2,47305,221659.08,25800,0,6077820,66,125176.75,0,58372,405213.73,649.28,337868.11,46690,47360,24859,189,0,231086.52,911970.05,571875.95,2095038,3014,1071.39,71023,105737.34,1647984,123296,667477,770265.08,2453844.08,1791627,2783273,4960501
2429763,336731.73,0,821073,2538371.4,334325,344,6005.93,237377,502386.36,247827.4,196092,237800.42,743.81,64430,346879.2,466200.68,1,61065.8,68522,248231.21,47305,221659.08,78352,363058.79,32883,0,5125205,18153,90555.97,5600.63,440982,468804.27,21505.56,285242.56,57719,4451.45,19210,394,625,105812,1887280.16,113871.38,2666062,59,311.28,68412,68746.45,667477,85961,914529,1802217.15,2490395.05,4960501,3227532,2783273
1459708,502386.36,0,1040839,1295384.52,196092,49,743.81,371147,740044.14,158684.46,233037,241132.16,600.13,47305,221659.08,211577.55,50,122200.28,34512,0,78352,363058.79,142697,493520.69,41706,5600.63,3115258,46874,185897.22,47360,24859,153380.87,0,357924.48,46561,0,503816,26,5140,84097.39,1770844.2,201781.18,2314994,87,373,73569,82836.74,914529,83912,942957,1560793.41,8593628.35,2783273,3549058,3227532
1421997,740044.14,1,1271612,3738895.25,233037,48,600.13,328315,633447.12,105826.01,167817,245904.38,61495.16,78352,363058.79,8782.58,64,87882.14,44204,0,142697,493520.69,142722,513071.07,63626,47360,2449005,2449,231086.52,4451.45,19210,181682.69,14752.5,93480.94,19812,45144.76,15932,2941,0,70393.74,1328134.38,2115098.18,2577410,24444,10031.93,62094,68287.53,942957,73582,803946,736443.84,3868519.57,3227532,2515941,3549058
676069,633447.12,50,1083855,2310593.12,167817,3078,61495.16,471439,1152615.49,125176.75,200518,300114.91,214715.56,142697,493520.69,111190.88,6,215721.59,34298,5600.63,142722,513071.07,155865,558333.71,22713,4451.45,2855971,4583847,105812,0,503816,571875.95,123129.25,304466.02,34647,0,27448,1652,698,108753.15,1923925.09,284604.02,2807037,51,235.58,58747,63762.69,803946,52578,1200091,2404891.54,4042222.1,3549058,3655647,2515941
