PERIODO,PESO_1,VALOR_1,NUM_OPERACIONES_1,PESO_2,VALOR_2,NUM_OPERACIONES_2,PESO_3,VALOR_3,NUM_OPERACIONES_3,PESO_4,VALOR_4,NUM_OPERACIONES_4,PESO_5,VALOR_5,NUM_OPERACIONES_5,PESO_6,VALOR_6,NUM_OPERACIONES_6,PESO_7,VALOR_7,NUM_OPERACIONES_7,PESO_8,VALOR_8,NUM_OPERACIONES_8,PESO_9,VALOR_9,NUM_OPERACIONES_9,PESO_10,VALOR_10,NUM_OPERACIONES_10,PESO_11,VALOR_11,NUM_OPERACIONES_11,PESO_12,VALOR_12,NUM_OPERACIONES_12,PESO_13,VALOR_13,NUM_OPERACIONES_13,PESO_14,VALOR_14,NUM_OPERACIONES_14,PESO_15,VALOR_15,NUM_OPERACIONES_15,PESO_16,VALOR_16,NUM_OPERACIONES_16,PESO_17,VALOR_17,NUM_OPERACIONES_17,PESO_18,VALOR_18,NUM_OPERACIONES_18,PESO_19,VALOR_19,NUM_OPERACIONES_19,PESO_20,VALOR_20,NUM_OPERACIONES_20,PESO_21,VALOR_21,NUM_OPERACIONES_21,PESO_22,VALOR_22,NUM_OPERACIONES_22,PESO_23,VALOR_23,NUM_OPERACIONES_23,tm_mes,w_med,p_mes,hr,e,w_racha_dir,w_racha_speed,PIB
Ago/17,15036,37630.0,1,38319,264495.17,80,3060869,22320570.88,2228,301989,317361.39,152,1936,8172.78,16,114441,422602.87,115,8356420,2234993.92,93,3655647,6486673.48,181,489282,1101229.71,37,133245936,21485898.06,31,2443122,507653.88,16,12125,11939.34,19,0,0.0,0,181,713.75,7,12099344,7351223.52,20,23612,38099.58,97,228806,134737.65,100,21448,99831.04,111,67554,310482.37,315,83858,138085.82,146,12060,47977.91,183,1018227,1136206.75,182,9884549,2806140.75,183,25.8,27.0,1.5,78.0,263.0,9.0,22.2,272887.0
Sep/17,0,0.0,0,315698,378225.34,83,2231355,13434950.05,1448,393699,348863.49,164,6830,29019.03,20,173068,473844.82,101,866668,763971.45,78,1589623,1602091.88,73,280377,605468.74,42,91324,93906.39,21,18187,25313.09,16,8941,29672.53,22,0,0.0,0,1989,1561.74,7,27051,21894.16,22,48236,150161.05,107,108457575,45495899.61,100,23182,78026.16,105,28051,67800.2,315,117743,153422.19,138,9497,42843.79,172,1455366,2974003.8,204,11053387,1780249.38,140,23.5,23.0,1.7,81.0,238.0,8.0,19.2,272887.0
Oct/17,18501,48578.23,4,43199,258297.74,97,2911871,18729423.04,2711,552213,666198.47,177,5237,25341.28,21,140900,569011.97,124,1182016,840783.64,105,1641873,1403791.91,92,340285,665243.22,33,116334428,19338474.73,29,313,524.37,18,17313,28354.07,24,400,2797.5,1,228,1345.02,7,146114,426711.41,24,90859,133166.7,115,72763,44113.51,62,25414,37672.42,80,54444,206546.06,313,24067,22524.83,136,3454,35937.33,165,913930,2748439.94,184,11723912,2591812.9,142,22.5,30.0,29.0,84.0,226.0,8.0,21.7,258272.0
Nov/17,52167,146232.68,4,34703,226111.66,83,2532096,15602584.32,2049,320805,378948.4,163,4012,18346.22,20,117039,470981.75,143,1300326,731480.27,138,3065568,2849373.35,166,103177,193214.84,33,26275512,4670405.39,26,478,1826.95,16,53312,144503.22,18,155,10277.77,3,772,2879.05,10,2002839,1474586.94,25,39507,51802.85,134,6230449,3595724.54,94,697892,899362.77,118,85417,330730.2,317,116197,178494.25,145,14195,67325.04,184,1450908,3667163.36,207,11980225,3281146.57,151,14.5,17.0,121.1,82.0,171.0,22.0,18.9,258272.0
Dic/17,0,0.0,0,403873,510913.54,87,2515082,20087436.02,1939,494276,559500.84,196,1705,14113.44,23,93375,348511.66,76,3265438,1688314.09,191,2461376,2296914.93,174,158247,301632.51,21,19028286,3864358.54,29,4254,11754.58,14,136925,272124.19,24,995,55632.62,2,275,1566.85,7,2029946,1459573.2,22,29129,154674.91,144,401091,882829.62,87,279827,762228.89,112,65294,94450.33,290,119709,133091.11,149,12591,81021.62,152,909805,2486995.16,167,6523176,1472737.14,159,14.7,20.0,101.1,80.0,139.0,21.0,24.2,258272.0
Ene/18,24500,73081.64,2,32766,174249.83,65,2124526,16676925.55,1618,265673,339562.41,164,2877,12796.74,34,112096,355040.37,80,10891638,3379299.93,208,2245553,2402024.01,139,324712,596503.05,33,75607522,13373771.22,27,287,420.59,17,17454,64726.41,19,0,7.75,3,22509,16400.27,9,18641702,12985776.17,34,50944,60306.32,110,137219,359289.81,85,239247,693499.86,124,24636,60090.24,249,78887,72532.3,139,4755,27785.62,185,965433,2952495.94,159,24710364,4825261.09,437,12.8,20.0,82.0,83.0,127.0,10.0,26.1,270438.0
Feb/18,16001,45857.41,3,23481,115950.3,51,2666781,18210614.61,1560,363369,467073.67,74,18542,158903.77,6,91313,371324.25,87,4426497,1855788.07,183,3284644,4642711.69,177,375154,637502.75,21,10679821,1659514.91,5,18060,31441.05,4,4399855,1445487.67,6,0,0.0,0,150,4640.17,5,10027588,5646060.34,6,3281,11148.03,46,67982496,34706342.08,37,155367,430093.49,78,49826,108516.69,89,55911,60360.81,28,2274,20646.08,32,1452081,640064.86,72,5178785,1492885.85,175,12.0,16.0,72.3,81.0,120.0,23.0,18.6,270438.0
Mar/18,0,0.0,0,573559,538848.0,116,3217316,14074830.52,1189,389862,434501.15,79,4601,30118.94,5,57668,340448.55,85,3188769,1186374.28,136,3262054,5380113.81,179,357418,612028.38,18,54289336,9161126.41,8,153,512.66,3,69,40995.07,7,5,668.05,1,13287,4672.3,6,19030554,11465982.88,14,67640,190572.41,53,199594,430048.77,38,626309,1780987.87,80,36978,81685.92,83,108822,128152.48,41,7599,41362.43,37,1201887,1826126.05,86,8310255,1973284.8,186,13.9,24.0,286.0,84.0,139.0,22.0,33.1,270438.0
Abr/18,0,0.0,0,47861,195291.75,53,2553933,17316292.1,1566,193140,218112.17,77,4830,24369.89,7,58164,350343.78,104,2974767,1752637.14,151,4979809,6565793.89,208,259692,474021.37,16,51447938,8515169.12,7,0,0.0,0,17916,37235.16,6,40,465.86,2,54799,23315.16,4,29531,20716.21,7,73086,129056.47,55,25379688,12736077.66,54,336067,981077.78,99,50017,264234.29,116,97654,129925.98,45,5505,30179.17,37,747242,2411248.71,112,4341807,807015.19,178,18.466522988505744,18.0,88.9,84.0,176.76724137931038,11.703389830508476,23.19957627118644,255947.0
May/18,0,0.0,0,17144,119284.27,57,2889079,17853381.13,1908,362412,444400.75,78,3339,19494.53,7,65817,335178.56,98,4204833,2396253.09,182,2713864,3635973.9,161,192832,369476.86,15,22262,10211.38,2,30,221.59,1,25203,23855.0,4,500,31118.82,1,396,3635.07,1,10221688,5614604.23,5,45438,179929.15,48,785487,518235.06,38,311394,826663.16,68,59689,96362.18,71,98248,178574.01,42,29282,98004.07,63,2008863,1223599.75,70,9895891,2914927.39,190,18.466522988505737,19.0,7.6,79.84463276836158,176.76724137931038,8.0,20.6,255947.0
Jun/18,0,0.0,0,871013,472614.43,60,2867913,15686031.28,1435,555645,571434.94,89,2446,16070.77,6,74338,344813.61,85,4927018,2322201.51,163,2297289,3940376.44,141,428133,704985.71,24,21164969,3532037.76,10,27564,10441.62,4,12398,55643.88,7,1000,48684.66,2,42,133.14,2,26832,17199.87,5,16476,125080.29,55,599020,406674.68,43,294369,850136.94,76,24795,59251.45,83,72170,123040.59,41,9806,59049.07,33,990648,1567157.43,78,19490602,3976058.77,191,19.6,20.0,1.5,65.0,150.0,8.0,20.8,255947.0
Jul/18,4050,101053.72,1,65368,425264.89,93,4513600,27857362.79,2058,333403,304831.45,75,24937,82141.81,5,77414,463241.4,108,9058866,2701308.68,64,2619213,3334195.1,127,243460,537593.79,17,36029641,6577847.69,2,18451,36304.24,4,54,16837.39,5,0,0.0,0,24034,8584.21,3,9411,11443.57,7,40636,156599.23,57,236608,106467.77,30,23799,102255.87,49,40035,192140.07,80,68781,124261.36,42,11706,50665.59,38,1982796,1270241.91,97,3123323,1141883.38,189,21.1,17.0,0.0,66.0,167.0,10.0,17.5,261898.0
Ago/18,0,0.0,0,47335,272401.51,64,2426020,19736161.01,1264,350369,283847.13,90,1717,8427.68,4,109901,452875.24,89,8036733,1696872.66,50,1579299,2280645.17,82,671513,1339301.61,31,21876439,4145843.11,8,22002,35734.11,3,156,8412.22,4,500,33265.86,2,96,256.75,3,7692,9168.19,8,36648,111892.85,54,30646,63345.53,45,26300,141252.89,63,663790,398730.74,110,63108,116744.55,59,6370,49196.23,50,872937,1237437.22,81,1307478,519743.1,200,23.8,27.0,0.0,65.0,192.0,3.0,24.4,261898.0
Sep/18,18701,51477.08,2,791794,892656.73,134,2950024,18315998.51,1662,360465,353067.76,90,2797,19663.14,5,100575,416628.54,104,13186744,2868912.4,44,2155474,4402394.43,121,443982,838653.24,26,38422672,7766972.63,6,30,51.99,1,55,15240.35,5,3,52.42,1,10283,6530.64,3,47914,31425.59,6,118080,176870.73,62,17510506,5104277.93,24,16443,43082.27,38,38529,236826.88,83,55524,56548.15,32,7737,21595.04,48,5069543,2947031.58,231,3633890,1192838.36,151,23.4,24.0,0.3,67.0,191.0,8.0,20.8,261898.0
Oct/18,2,633.94,2,79424,247662.72,62,2123750,13831778.33,2006,298896,340121.88,67,6299,28982.13,7,177460,834117.57,142,739023,647570.94,64,3589875,4633961.93,173,356941,685087.44,24,102811560,18601989.46,19,84,125.09,2,12238,70222.93,9,812,37060.08,4,0,0.0,0,5011980,3783938.52,10,75675,85817.07,64,144776,100674.66,22,24832,55138.05,50,32506,73850.94,94,85747,171307.72,52,74201,205680.23,45,10260331,5446526.96,459,33675737,10218111.01,198,19.1,19.0,106.3,68.0,152.0,18.0,23.3,249537.0
Nov/18,30691,100692.0,2,79659,243999.3,60,1952235,11692992.95,1535,351091,443289.83,75,4678,39319.69,10,117836,421825.5,104,2108616,1519868.46,117,2851378,5426275.55,154,426716,769908.09,28,22583662,3784728.94,11,2,137.9,2,169304,410564.1,11,700,47735.54,2,110,4106.83,3,28699,22377.06,7,42222,154146.69,82,39189321,11443889.77,41,346861,972808.1,78,32081,87818.01,113,58438,114523.18,46,8243,66814.2,37,10180738,5960255.02,500,82267,107183.52,186,14.5,17.0,121.1,82.0,140.0,22.0,18.9,249537.0
Dic/18,1,316.08,1,1993326,1428427.46,129,2025055,13333551.98,2041,260556,294325.63,91,2050,19124.66,6,116006,440798.16,103,2938267,2039828.5,171,2084414,2921796.52,143,100849,185864.0,14,104568658,20157923.98,28,56,333.89,4,115751,226679.2,6,2000,122429.66,3,6,53.0,1,5138664,3501710.04,6,40232,180975.9,75,32145966,9549329.66,30,16371,58588.14,53,639649,409025.16,108,51842,97728.66,50,14975,60013.92,44,1026920,1075280.04,108,115549,144563.44,171,13.8,19.0,25.0,85.0,138.0,9.0,21.9,249537.0
