PERIODO,PESO_5,VALOR_13,w_med,NUM_OPERACIONES_23,PESO_13,NUM_OPERACIONES_6,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,NUM_OPERACIONES_13,NUM_OPERACIONES_10,NUM_OPERACIONES_7,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,p_mes,VALOR_14,NUM_OPERACIONES_1,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,NUM_OPERACIONES_17,NUM_OPERACIONES_22,NUM_OPERACIONES_11,VALOR_10,PESO_19,NUM_OPERACIONES_3,PESO_1,w_racha_speed,NUM_OPERACIONES_4,NUM_OPERACIONES_5,PESO_21,PESO_16,NUM_OPERACIONES_9,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_8,NUM_OPERACIONES_15
Nov/14,19371,975.22,18.0,59,24,90,26,11,2756566.53,2,6,68,67,12860812,7008.48,110813,20,109.63333333333333,0.0,2,0,24.0,0,81.66666666666667,44,136,2,6269269.79,41580,1506,17001,25.6,40,12,69527,44103,20,31,36,7,80,5
Dic/14,552,0.0,18.0,63,0,81,21,15,4482450.64,0,10,98,88,256787,44.0,135941,19,45.0,0.0,0,0,7.0,0,80.0,69,188,2,18072591.34,34849,1646,0,20.3,35,14,65717,30769,13,52,49,6,110,5
Ene/15,43505,35331.62,21.0,57,6008,47,36,14,1582670.81,2,14,96,77,4819602,0.0,102450,25,40.8,0.0,3,0,26.0,0,83.0,59,131,0,6727873.45,41417,1180,2000,21.7,36,14,27101,24371,14,35,46,4,85,6
Feb/15,1107,0.0,22.0,63,0,67,35,11,1496773.47,0,8,83,64,5546,54.0,74962,19,35.5,0.0,0,0,8.0,0,81.0,52,146,1,6564794.05,29614,1344,0,22.8,41,12,44199,15465,16,28,48,11,115,8
Mar/15,22510,0.0,20.0,70,0,71,45,12,1361495.97,0,18,102,68,72285,178.0,252929,22,169.2,74.75,1,1,9.0,64,84.0,58,121,3,7679623.37,48652,1719,2700,25.3,33,17,50004,44547,13,59,49,5,108,12
Abr/15,551,0.0,25.0,91,0,50,121,12,1741482.85,0,17,111,131,29643,1171.04,94778,126,14.0,100.56,1,3,7.0,10,85.66666666666667,84,163,17,12183970.75,41543,1840,2000,26.4,174,17,47244,19603,31,86,348,123,107,25
May/15,1248,4724.0,26.0,96,400,88,167,12,1454869.45,1,15,147,109,75956,286.11,316817,172,6.0,165.76,4,3,8.0,172,78.0,78,192,10,4690826.38,45951,1711,39953,21.7,156,11,22980,27337,32,87,336,119,113,15
Jun/15,826,17808.96,26.0,117,200,66,176,12,2794516.46,1,17,85,115,64713,398.44,132242,166,12.5,0.0,3,0,7.0,0,79.0,99,173,13,1121074.3,736324,2016,529,22.2,145,20,52798,35122,33,97,342,102,85,24
Jul/15,159,499.5,20.0,133,10,70,188,20,4323053.04,1,14,56,89,20001427,272.58,43902,154,0.0,16.02,0,1,6.0,8,81.0,95,191,9,2750090.57,75157,1720,0,22.5,177,17,67954,27450,31,98,313,107,96,17
Ago/15,257,2386.59,21.0,112,230,45,188,16,1729342.32,2,46,46,104,20694062,245.11,36142,162,0.3,62650.69,0,6,8.0,187738,83.0,100,170,10,23939449.87,84152,2123,0,21.9,167,15,28242,26011,28,86,325,100,76,18
Sep/15,126,0.0,18.0,105,0,96,152,11,2848835.22,0,16,61,104,6743345,2592.54,509949,163,2.2,143797.92,1,17,9.0,313533,82.0,79,163,13,5024499.87,76713,1511,16000,19.4,153,16,44707,12539,31,92,327,98,86,20
