@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R9,46,52,58,96,102-103,114,141,145,164,167-168,179-180,186,210,232,241-242,247-248,268,272,278,286,292,310,315,324-325,386,401-402,423,437,464,469,472,496,518,541,543-544,577,671-673,694-695,697,706,730,749-750,754,756,758,777,790,835,852,854,887-888,905-906,911,926,928,927'

@attribute NUM_OPERACIONES_3_lag11 numeric
@attribute PESO_16_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute PESO_20_lag11 numeric
@attribute PESO_7_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_23_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute PESO_5_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_9_lag9 numeric
@attribute VALOR_9_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_19_lag9 numeric
@attribute PESO_1_lag8 numeric
@attribute PESO_4_lag8 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_13_lag8 numeric
@attribute VALOR_14_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_19_lag8 numeric
@attribute PESO_21_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_6_lag6 numeric
@attribute VALOR_6_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_3_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute PESO_12_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_2_lag4 numeric
@attribute VALOR_2_lag4 numeric
@attribute VALOR_13_lag4 numeric
@attribute PESO_19_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute PESO_1_lag2 numeric
@attribute VALOR_1_lag2 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_5_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute PESO_21_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute VALOR_22_lag2 numeric
@attribute PESO_3_lag1 numeric
@attribute VALOR_7_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute VALOR_2_lag0 numeric
@attribute PESO_3_lag0 numeric
@attribute PESO_14_lag0 numeric
@attribute VALOR_14_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead4 numeric
@attribute PESO_8_ahead3 numeric

@data
1511,12539,60961,68049,1325578,365419,770023,0,898453,2453432.11,149275,22231,221983.14,263565,531688.15,560.47,138615.55,838,128886,175568.22,105744,355449.56,58080,13872.47,88359.02,67090,130863,1241.26,2675011,44234,171660.78,0,61973,281812.97,15984.83,55566,80.96,4945797,390348,25268862,95177.15,24726.61,28780,220900.24,0,68522,158684.46,346,22455,248231.21,953779,48,50,105826.01,332,24070,193,2262517.93,6077820,702326.25,3538525.3,405213.73,5125205,24072,8862.19,294832,401658.55,1030377,4799001,3696543,8419038
1690,40215,65369,79264,1495317,263565,531688.15,200,747336,2721417.43,128886,294,4954.4,285513,671460.24,32,224764.84,40,92984,146860.63,44234,171660.78,0,0,196394.79,90141,19664,0,3023868,61973,281812.97,1,104158,372821.04,7.25,63675,24726.61,2545104,334325,4902846,247827.4,66934.29,47020,258874.15,81.73,34512,105826.01,332,0,0,38260,3078,64,125176.75,291,66805,156,3538525.3,5125205,321765.4,1977077.18,468804.27,3115258,420,351.46,83238,91854.49,1374175,8419038,1015856,3696543
1846,124598,81949,54417,3047421,285513,671460.24,58080,929046,3998669.5,92984,89,2884.2,440479,916758.87,49722.61,211212.06,0,344169,278604.56,61973,281812.97,450,46,253723.81,31388,33979,80.96,4945797,104158,372821.04,1505,76632,394979.23,0,74159,66934.29,2689880,196092,3000096,158684.46,248231.21,953779,877627.71,987.68,44204,125176.75,291,0,0,58372,27683,6,90555.97,333,30582,189,1977077.18,3115258,601613.27,1621881.1,153380.87,2449005,88,349.55,67877,91383.05,1613547,3696543,1791627,1015856
2048,29346,106172,56687,2715935,440479,916758.87,0,1055663,1358384.77,344169,469,9899.97,97963,247983.49,360.59,77838.9,1,390348,350185.9,104158,372821.04,0,2654.65,114155.38,35183,37689,24726.61,2545104,76632,394979.23,3189,64430,346879.2,81.73,27018,248231.21,3346391,233037,1101100,105826.01,0,38260,229241.38,1505.98,34298,90555.97,333,38,5600.63,440982,58,476,185897.22,362,39672,200,1621881.1,2449005,1049376.16,2399691.86,181682.69,2855971,2134,10695.62,77855,85264.33,2282073,1015856,4960501,1791627
1933,62573,38258,202896,9780713,97963,247983.49,450,1239772,2529010.63,390348,7173,37984.09,166944,336731.73,375.26,95177.15,1505,334325,328996.72,76632,394979.23,0,318.17,153012.57,90445,83412,66934.29,2689880,64430,346879.2,22455,47305,221659.08,987.68,25800,0,6077820,167817,66,125176.75,0,58372,405213.73,649.28,46690,185897.22,362,15050,47360,24859,189,0,231086.52,370,25828,241,2399691.86,2855971,911970.05,3197344.1,571875.95,2095038,3014,1071.39,71023,105737.34,1647984,1791627,2783273,4960501
1444,23903,55566,63012,2429763,166944,336731.73,0,821073,2538371.4,334325,344,6005.93,237377,502386.36,461.87,247827.4,3189,196092,237800.42,64430,346879.2,1,10176.34,61065.8,68522,58563,248231.21,3346391,47305,221659.08,0,78352,363058.79,1505.98,32883,0,5125205,200518,18153,90555.97,5600.63,440982,468804.27,21505.56,57719,231086.52,370,115,4451.45,19210,394,625,105812,338,2372,178,3197344.1,2095038,1887280.16,1778983.66,113871.38,2666062,59,311.28,68412,68746.45,667477,4960501,3227532,2783273
1859,42078,63675,67633,1459708,237377,502386.36,0,1040839,1295384.52,196092,49,743.81,371147,740044.14,73416.43,158684.46,22455,233037,241132.16,47305,221659.08,50,8573,122200.28,34512,24070,0,6077820,78352,363058.79,0,142697,493520.69,649.28,41706,5600.63,3115258,326975,46874,185897.22,47360,24859,153380.87,0,46561,105812,338,0,0,503816,26,5140,84097.39,356,8132,303,1778983.66,2666062,1770844.2,770265.08,201781.18,2314994,87,373,73569,82836.74,914529,2783273,3549058,3227532
1963,68354,74159,115242,1421997,371147,740044.14,1,1271612,3738895.25,233037,48,600.13,328315,633447.12,3756.38,105826.01,0,167817,245904.38,78352,363058.79,64,2930.04,87882.14,44204,66805,0,5125205,142697,493520.69,38,142722,513071.07,21505.56,63626,47360,2449005,287144,2449,231086.52,4451.45,19210,181682.69,14752.5,19812,84097.39,356,17000,45144.76,15932,2941,0,70393.74,311,51337,314,770265.08,2314994,1328134.38,1802217.15,2115098.18,2577410,24444,10031.93,62094,68287.53,942957,3227532,2515941,3549058
2247,38850,27018,74603,676069,328315,633447.12,50,1083855,2310593.12,167817,3078,61495.16,471439,1152615.49,373.01,125176.75,0,200518,300114.91,142697,493520.69,6,8862.19,215721.59,34298,30582,5600.63,3115258,142722,513071.07,15050,155865,558333.71,0,22713,4451.45,2855971,360620,4583847,105812,0,503816,571875.95,123129.25,34647,70393.74,311,0,0,27448,1652,698,108753.15,312,65790,279,1802217.15,2577410,1923925.09,1560793.41,284604.02,2807037,51,235.58,58747,63762.69,803946,3549058,3655647,2515941
1865,26170,25800,63525,1061285,471439,1152615.49,64,1257053,3130116.77,200518,27683,214715.56,439311,956079.14,8504.63,90555.97,38,326975,337868.11,142722,513071.07,476,351.46,53825.61,46690,39672,47360,2449005,155865,558333.71,115,112972,483040.08,14752.5,75815,0,2095038,44755,4685,84097.39,45144.76,15932,113871.38,0,53574,108753.15,312,59127,201236.73,1158733,5079,1308,242656.65,314,6699,351,1560793.41,2807037,1416787.87,736443.84,246306.55,3003554,24064,9303.61,62448,112793.4,1200091,2515941,1589623,3655647
1824,61299,32883,71970,357290,439311,956079.14,6,1030377,3443705.64,326975,58,2478.6,464319,1184445.51,6947.34,185897.22,15050,287144,285242.56,155865,558333.71,0,349.55,184979.04,57719,25828,4451.45,2855971,112972,483040.08,0,104809,387277.43,123129.25,69442,45144.76,2666062,278474,5050,70393.74,0,27448,201781.18,42377.5,68150,242656.65,314,16074,160369.8,42838,1570,0,70092.69,297,6613,190,736443.84,3003554,1507850.95,2404891.54,347937.18,1611147,131,432.21,85463,143193.24,1317549,3655647,1641873,1589623
2658,78128,41706,294832,1072040,464319,1184445.51,476,1374175,2913638.21,287144,189,4384.2,459047,1240748.48,386.41,231086.52,115,360620,357924.48,112972,483040.08,625,10695.62,54038.19,46561,2372,0,2095038,104809,387277.43,17000,123296,351876.29,0,52785,0,2314994,115982,3869,108753.15,201236.73,1158733,2115098.18,77818.86,33506,70092.69,297,3073,25010.13,39324,7591,0,90890.87,39,11712,30,2404891.54,1611147,383311.67,1422335.24,383720.91,3047992,24080,9145.16,54559,68216.28,2395921,1589623,3065568,1641873
1317,33613,63626,83238,1310932,459047,1240748.48,0,1613547,5249678.25,360620,394,15068.24,289468,664454.93,28889.12,105812,0,44755,93480.94,104809,387277.43,5140,1071.39,166960.1,19812,8132,45144.76,2666062,123296,351876.29,0,85961,360602,42377.5,27737,201236.73,2577410,313143,60659,242656.65,160369.8,42838,284604.02,0,34419,90890.87,39,348,6386.41,162605,2216,0,167280.5,267,47700,173,1422335.24,3047992,873829.1,3584402.08,264495.17,3060869,181,713.75,83858,138085.82,1018227,1641873,2461376,3065568
2145,71996,22713,67877,1569340,289468,664454.93,625,2282073,3414539.32,44755,26,337.87,354209,892627.02,4762.32,84097.39,17000,278474,304466.02,123296,351876.29,0,311.28,137026.81,34647,51337,0,2314994,85961,360602,59127,83912,284026.1,77818.86,43858,160369.8,2807037,208690,11907441,70092.69,25010.13,39324,246306.55,0,42580,167280.5,267,49609,141495.5,51196,1709,0,69432.92,317,8493,227,3584402.08,3060869,2234993.92,1136206.75,378225.34,2231355,1989,1561.74,117743,153422.19,1455366,3065568,2245553,2461376
2059,20819,75815,77855,3179457,354209,892627.02,5140,1647984,2479940.17,278474,2941,15224.96,518507,1242678.72,514.78,70393.74,0,115982,155438.55,85961,360602,698,373,157781.25,53574,65790,201236.73,2577410,83912,284026.1,16074,73582,437706.14,0,22167,25010.13,3003554,435797,13040,90890.87,6386.41,162605,347937.18,0,28039,69432.92,317,15036,37630,38319,1936,0,310482.37,315,12060,183,1136206.75,2231355,763971.45,2974003.8,258297.74,2911871,228,1345.02,24067,22524.83,913930,2461376,3284644,2245553
1839,52128,69442,71023,2767615,518507,1242678.72,0,667477,2453844.08,115982,1652,11947.06,213104,435789.89,309.28,108753.15,59127,313143,459593.51,83912,284026.1,1308,10031.93,149976.66,68150,6699,160369.8,2807037,73582,437706.14,3073,52578,295760.41,0,16786,6386.41,1611147,537418,489,167280.5,141495.5,51196,383720.91,0,67554,310482.37,315,0,0,315698,6830,0,67800.2,315,9497,172,2974003.8,2911871,840783.64,2748439.94,226111.66,2532096,772,2879.05,116197,178494.25,1450908,2245553,3262054,3284644
