PERIODO,PESO_5,VALOR_13,VALOR_12,PESO_20,PESO_13,VALOR_16,VALOR_7,PESO_9,NUM_OPERACIONES_21,VALOR_22,VALOR_5,VALOR_18,NUM_OPERACIONES_10,PESO_11,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,VALOR_1,p_mes,VALOR_20,VALOR_14,VALOR_21,PESO_18,VALOR_9,NUM_OPERACIONES_8,NUM_OPERACIONES_14,PIB,w_racha_dir,PESO_14,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,PESO_19,PESO_1,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,NUM_OPERACIONES_4,VALOR_23,PESO_21,PESO_16,PESO_7,NUM_OPERACIONES_9,PESO_8,VALOR_4,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_6,PESO_6,VALOR_6,NUM_OPERACIONES_15
Ene/17,2941,0.0,22836.44,68412,0,137026.81,1770844.2,518507,314,770265.08,15224.96,202007.5,30,338,99,5050,514.78,15932,142,45144.76,15.6,68746.45,311.28,78288.37,52785,1242678.72,54,4,282844.0,10.0,59,2666062,278474,15,89,34647,17000,2076,70393.74,26.1,113871.38,667477,155,2453844.08,51337,17092,2767615,40,1015856,304466.02,72,311,110,58,123296,351876.29,15
Feb/17,1652,42377.5,28571.77,73569,698,157781.25,1328134.38,213104,279,1802217.15,11947.06,108398.95,24,171,92,3869,309.28,27448,151,0.0,81.9,82836.74,373.0,73434.66,27737,435789.89,80,5,282844.0,9.0,87,2314994,115982,13,96,53574,0,1611,108753.15,27.2,201781.18,914529,141,2490395.05,65790,66300,2487279,36,1791627,155438.55,87,312,115,159,85961,360602.0,15
Mar/17,5079,77818.86,94670.63,62094,1308,149976.66,1923925.09,119922,351,1560793.41,47108.25,120042.35,21,254,94,60659,328.95,1158733,153,201236.73,49.2,68287.53,10031.93,37842.97,43858,281591.37,139,10,282844.0,10.0,24444,2577410,313143,12,83,68150,59127,1790,242656.65,24.7,2115098.18,942957,157,8593628.35,6699,51173,3663372,26,4960501,459593.51,113,314,115,88,83912,284026.1,14
Abr/17,1570,0.0,2833369.35,58747,0,264322.74,1416787.87,60001,190,736443.84,17343.43,81226.04,26,285,133,11907441,445.82,42838,147,160369.8,85.1,63762.69,235.58,27766.46,22167,148853.33,127,4,267162.0,9.0,51,2807037,208690,17,121,33506,16074,2113,70092.69,30.0,284604.02,803946,154,3868519.57,6613,116973,2370005,22,2783273,338135.75,94,297,103,77,73582,437706.14,14
May/17,7591,0.0,22502.64,62448,0,119101.83,1507850.95,412222,30,2404891.54,78989.22,79364.81,6,10,55,13040,112.27,39324,22,25010.13,22.1,112793.4,9303.61,45553.95,16786,913612.92,140,6,267162.0,8.0,24064,3003554,435797,3,36,34419,3073,2302,90890.87,23.9,246306.55,1200091,40,4042222.1,11712,53167,2240413,21,3227532,469935.16,42,39,8,100,52578,295760.41,15
Jun/17,2216,0.0,10623.41,85463,0,170472.7,383311.67,241750,173,1422335.24,10769.69,62234.36,28,17132,94,489,38771.21,162605,137,6386.41,0.0,143193.24,432.21,115648.5,19990,541004.96,193,5,267162.0,8.0,131,1611147,537418,16,71,42580,348,1561,167280.5,22.5,347937.18,1317549,161,2471702.63,47700,34706,563552,37,3549058,571532.15,87,267,95,89,61411,261253.11,16
Jul/17,1709,0.0,59628.23,54559,0,273837.44,873829.1,424554,227,3584402.08,25163.58,128630.06,34,232,110,12903,249.88,51196,180,141495.5,0.1,68216.28,9145.16,46233.64,26368,973934.63,157,5,272887.0,8.0,24080,3047992,344123,11,108,28039,49609,2162,69432.92,30.0,383720.91,2395921,168,2101864.12,8493,121174,934037,33,2515941,351044.18,95,317,115,72,67641,341178.48,36
Ago/17,1936,0.0,11939.34,83858,0,38099.58,2234993.92,489282,183,1136206.75,8172.78,99831.04,31,2443122,111,12125,507653.88,38319,146,37630.0,1.5,138085.82,713.75,47977.91,21448,1101229.71,181,7,272887.0,9.0,181,3060869,301989,16,100,67554,15036,2228,310482.37,22.2,264495.17,1018227,152,2806140.75,12060,23612,8356420,37,3655647,317361.39,80,315,97,115,114441,422602.87,20
Sep/17,6830,0.0,29672.53,117743,0,150161.05,763971.45,280377,172,2974003.8,29019.03,78026.16,21,18187,105,8941,25313.09,315698,138,0.0,1.7,153422.19,1561.74,42843.79,23182,605468.74,73,7,272887.0,8.0,1989,2231355,393699,16,100,28051,0,1448,67800.2,19.2,378225.34,1455366,164,1780249.38,9497,48236,866668,42,1589623,348863.49,83,315,107,101,173068,473844.82,22
Oct/17,5237,2797.5,28354.07,24067,400,133166.7,840783.64,340285,165,2748439.94,25341.28,37672.42,29,313,80,17313,524.37,43199,136,48578.23,29.0,22524.83,1345.02,35937.33,25414,665243.22,92,7,258272.0,8.0,228,2911871,552213,18,62,54444,18501,2711,206546.06,21.7,258297.74,913930,177,2591812.9,3454,90859,1182016,33,1641873,666198.47,97,313,115,124,140900,569011.97,24
