@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,55-56,84,87,117-118,170,189,200,215-216,222,231,238,253,277-278,283,289-290,308,317,327,333-334,345,360-361,372,398-399,410-411,416-417,441,463,472-473,476,478-479,499,502-503,509,517,540-541,555-556,594,601,617,632-633,678,693,700,727,739,749,770,772,774-775,787,808,902-903,905-906,912,929-930'

@attribute PESO_4_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_3_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute VALOR_23_lag9 numeric
@attribute PIB_lag9 numeric
@attribute PESO_3_lag8 numeric
@attribute PESO_8_lag8 numeric
@attribute PESO_16_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_18_lag8 numeric
@attribute PESO_20_lag8 numeric
@attribute VALOR_20_lag8 numeric
@attribute PIB_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_7_lag7 numeric
@attribute PESO_9_lag7 numeric
@attribute VALOR_9_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_18_lag7 numeric
@attribute PESO_22_lag7 numeric
@attribute PESO_5_lag6 numeric
@attribute VALOR_5_lag6 numeric
@attribute PESO_9_lag6 numeric
@attribute VALOR_9_lag6 numeric
@attribute PESO_11_lag6 numeric
@attribute VALOR_11_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute PESO_1_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute VALOR_4_lag5 numeric
@attribute VALOR_5_lag5 numeric
@attribute PESO_6_lag5 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute PESO_14_lag5 numeric
@attribute VALOR_14_lag5 numeric
@attribute VALOR_16_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_6_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_21_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_6_lag3 numeric
@attribute VALOR_6_lag3 numeric
@attribute VALOR_21_lag3 numeric
@attribute PIB_lag3 numeric
@attribute PESO_3_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute PESO_16_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute PIB_lag2 numeric
@attribute VALOR_1_lag1 numeric
@attribute PESO_2_lag1 numeric
@attribute VALOR_2_lag1 numeric
@attribute VALOR_6_lag1 numeric
@attribute VALOR_13_lag1 numeric
@attribute PESO_19_lag0 numeric
@attribute VALOR_19_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute PESO_8_ahead5 numeric
@attribute PESO_8_ahead6 numeric

@data
1112172,76713,183115.55,3274391,80833,50195,23580.51,111794,69742.64,124598,27901,47304.91,2721417.43,277868,2658367,5650392,29346,88359.02,106172,56687,60591.21,277868,1933,2715935,440479,916758.87,0,38258,158021.05,1055663,469,9899.97,97963,247983.49,264,360.59,77838.9,1,390348,350185.9,37984.09,104158,372821.04,0,627,2654.65,114155.38,35183,1505,24726.61,76632,394979.23,90445,101520.61,3189,64430,346879.2,110715.38,276900,3346391,1101100,26170,105826.01,276900,0,38260,229241.38,363058.79,1505.98,34298,90555.97,294832,401658.55,1977077.18,1015856,1791627
80833,40073,143677.58,2620497,149275,5,57,105744,95899.19,29346,130863,172569.51,3998669.5,277868,2675011,4341390,62573,196394.79,38258,202896,266983.5,291178,1444,9780713,97963,247983.49,450,55566,201506.13,1239772,7173,37984.09,166944,336731.73,276,375.26,95177.15,1505,334325,328996.72,6005.93,76632,394979.23,0,96,318.17,153012.57,90445,3189,66934.29,64430,346879.2,68522,110715.38,22455,47305,221659.08,37963.4,276900,6077820,66,61299,125176.75,283781,0,58372,405213.73,493520.69,649.28,46690,185897.22,83238,91854.49,1621881.1,1791627,4960501
149275,54477,138615.55,2658367,128886,31105,13872.47,44234,2241634.09,62573,19664,30657.33,1358384.77,291178,3023868,3371997,23903,253723.81,55566,63012,72614.17,291178,1859,2429763,166944,336731.73,0,63675,250244.07,821073,344,6005.93,237377,502386.36,234,461.87,247827.4,3189,196092,237800.42,743.81,64430,346879.2,1,24423,10176.34,61065.8,68522,22455,248231.21,47305,221659.08,34512,37963.4,0,78352,363058.79,78649.77,283781,5125205,18153,78128,90555.97,283781,5600.63,440982,468804.27,513071.07,21505.56,57719,231086.52,67877,91383.05,2399691.86,4960501,2783273
128886,67090,224764.84,2675011,92984,0,0,61973,2375362.11,23903,33979,124553.86,2529010.63,291178,4945797,5933294,42078,114155.38,63675,67633,79783.8,291178,1963,1459708,237377,502386.36,0,74159,268957.02,1040839,49,743.81,371147,740044.14,9204,73416.43,158684.46,22455,233037,241132.16,600.13,47305,221659.08,50,24049,8573,122200.28,34512,0,0,78352,363058.79,44204,78649.77,0,142697,493520.69,65641.38,283781,3115258,46874,33613,185897.22,283781,47360,24859,153380.87,558333.71,0,46561,105812,77855,85264.33,3197344.1,2783273,3227532
92984,90141,211212.06,3023868,344169,8,46,104158,4691631.51,42078,37689,78509.35,2538371.4,291178,2545104,6545056,68354,153012.57,74159,115242,118101.39,276900,2247,1421997,371147,740044.14,1,27018,113215.11,1271612,48,600.13,328315,633447.12,2791,3756.38,105826.01,0,167817,245904.38,61495.16,78352,363058.79,64,817,2930.04,87882.14,44204,0,0,142697,493520.69,34298,65641.38,38,142722,513071.07,100551.23,283781,2449005,2449,71996,231086.52,266884,4451.45,19210,181682.69,483040.08,14752.5,19812,84097.39,71023,105737.34,1778983.66,3227532,3549058
344169,31388,77838.9,4945797,390348,627,2654.65,76632,861367.09,68354,83412,101520.61,1295384.52,276900,2689880,6273612,38850,61065.8,27018,74603,91078.74,276900,1865,676069,328315,633447.12,50,25800,100814.41,1083855,3078,61495.16,471439,1152615.49,201,373.01,125176.75,0,200518,300114.91,214715.56,142697,493520.69,6,24072,8862.19,215721.59,34298,38,5600.63,142722,513071.07,46690,100551.23,15050,155865,558333.71,46758.04,266884,2855971,4583847,20819,105812,266884,0,503816,571875.95,387277.43,123129.25,34647,70393.74,68412,68746.45,770265.08,3549058,2515941
390348,35183,95177.15,2545104,334325,96,318.17,64430,466200.68,38850,58563,110715.38,3738895.25,276900,3346391,3769702,26170,122200.28,25800,63525,78783.74,276900,1824,1061285,471439,1152615.49,64,32883,114132.73,1257053,27683,214715.56,439311,956079.14,25176,8504.63,90555.97,38,326975,337868.11,2478.6,142722,513071.07,476,420,351.46,53825.61,46690,15050,47360,155865,558333.71,57719,46758.04,115,112972,483040.08,15338.55,266884,2095038,4685,52128,84097.39,266884,45144.76,15932,113871.38,351876.29,0,53574,108753.15,73569,82836.74,1802217.15,2515941,3655647
334325,90445,247827.4,2689880,196092,24423,10176.34,47305,211577.55,26170,24070,37963.4,2310593.12,276900,6077820,2216324,61299,87882.14,32883,71970,88887.32,283781,2658,357290,439311,956079.14,6,41706,190105.42,1030377,58,2478.6,464319,1184445.51,15026,6947.34,185897.22,15050,287144,285242.56,4384.2,155865,558333.71,0,88,349.55,184979.04,57719,115,4451.45,112972,483040.08,46561,15338.55,0,104809,387277.43,44592.2,266884,2666062,5050,17092,70393.74,282844,0,27448,201781.18,360602,42377.5,68150,242656.65,62094,68287.53,1560793.41,3655647,1589623
196092,68522,158684.46,3346391,233037,24049,8573,78352,8782.58,61299,66805,78649.77,3130116.77,283781,5125205,1798532,78128,215721.59,41706,294832,401658.55,283781,1317,1072040,464319,1184445.51,476,63626,293102.8,1374175,189,4384.2,459047,1240748.48,254,386.41,231086.52,115,360620,357924.48,15068.24,112972,483040.08,625,2134,10695.62,54038.19,46561,0,0,104809,387277.43,19812,44592.2,17000,123296,351876.29,78288.37,282844,2314994,3869,66300,108753.15,282844,201236.73,1158733,2115098.18,284026.1,77818.86,33506,70092.69,58747,63762.69,736443.84,1589623,1641873
233037,34512,105826.01,6077820,167817,817,2930.04,142697,111190.88,78128,30582,65641.38,3443705.64,283781,3115258,3732375,33613,53825.61,63626,83238,91854.49,283781,2145,1310932,459047,1240748.48,0,22713,46877.58,1613547,394,15068.24,289468,664454.93,12262,28889.12,105812,0,44755,93480.94,337.87,104809,387277.43,5140,3014,1071.39,166960.1,19812,17000,45144.76,123296,351876.29,34647,78288.37,0,85961,360602,73434.66,282844,2577410,60659,51173,242656.65,282844,160369.8,42838,284604.02,437706.14,0,34419,90890.87,62448,112793.4,2404891.54,1641873,3065568
