PERIODO,PESO_5,VALOR_13,w_med,PESO_15,PESO_20,PESO_13,VALOR_16,NUM_OPERACIONES_6,PESO_9,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,VALOR_18,NUM_OPERACIONES_13,PESO_11,VALOR_11,VALOR_1,VALOR_21,VALOR_14,NUM_OPERACIONES_1,PESO_10,PESO_18,VALOR_9,PIB,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,VALOR_8,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,VALOR_15,PESO_1,PESO_19,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,PESO_17,PESO_21,PESO_16,NUM_OPERACIONES_5,PESO_7,NUM_OPERACIONES_2,VALOR_4,NUM_OPERACIONES_8,PESO_6,VALOR_6,VALOR_3,NUM_OPERACIONES_15
Ene/17,2941,0.0,20.0,10111,68412,0,137026.81,58,518507,314,20,770265.08,202007.5,0,338,514.78,45144.76,78288.37,311.28,1,47511975,52785,1242678.72,282844.0,4,10.0,59,73.0,1478539.3,2666062,278474,15,89,12119.57,17000,34647,2076,70393.74,26.1,113871.38,667477,52745449,51337,17092,20,2767615,72,304466.02,54,123296,351876.29,18583574.39,15
Feb/17,1652,42377.5,23.0,7587,73569,698,157781.25,159,213104,279,18,1802217.15,108398.95,1,171,309.28,0.0,73434.66,373.0,0,4070019,27737,435789.89,282844.0,5,9.0,87,83.0,3279539.35,2314994,115982,13,96,9023.45,0,53574,1611,108753.15,27.2,201781.18,914529,61415927,65790,66300,20,2487279,87,155438.55,80,85961,360602.0,15487075.55,15
Mar/17,5079,77818.86,24.0,12772,62094,1308,149976.66,88,119922,351,26,1560793.41,120042.35,2,254,328.95,201236.73,37842.97,10031.93,5,26489245,43858,281591.37,282844.0,10,10.0,24444,86.0,10402683.93,2577410,313143,12,83,14821.27,59127,68150,1790,242656.65,24.7,2115098.18,942957,46340355,6699,51173,23,3663372,113,459593.51,139,83912,284026.1,15908271.6,14
Abr/17,1570,0.0,30.0,4048331,58747,0,264322.74,77,60001,190,17,736443.84,81226.04,0,285,445.82,160369.8,27766.46,235.58,6,11619681,22167,148853.33,267162.0,4,9.0,51,91.0,3811339.39,2807037,208690,17,121,2977703.98,16074,33506,2113,70092.69,30.0,284604.02,803946,5769957,6613,116973,15,2370005,94,338135.75,127,73582,437706.14,13758401.37,14
May/17,7591,0.0,27.0,8692,62448,0,119101.83,100,412222,30,18,2404891.54,79364.81,0,10,112.27,25010.13,45553.95,9303.61,6,13802427,16786,913612.92,267162.0,6,8.0,24064,90.0,4701173.86,3003554,435797,3,36,10293.93,3073,34419,2302,90890.87,23.9,246306.55,1200091,27153454,11712,53167,25,2240413,42,469935.16,140,52578,295760.41,15653973.18,15
Jun/17,2216,0.0,27.0,96349,85463,0,170472.7,89,241750,173,9,1422335.24,62234.36,0,17132,38771.21,6386.41,115648.5,432.21,5,8659664,19990,541004.96,267162.0,5,8.0,131,86.0,5877498.55,1611147,537418,16,71,68332.52,348,42580,1561,167280.5,22.5,347937.18,1317549,296493,47700,34706,16,563552,87,571532.15,193,61411,261253.11,10233698.2,16
Jul/17,1709,0.0,25.0,25091535,54559,0,273837.44,72,424554,227,18,3584402.08,128630.06,0,232,249.88,141495.5,46233.64,9145.16,5,96970642,26368,973934.63,272887.0,5,8.0,24080,80.0,4149411.56,3047992,344123,11,108,15429010.58,49609,28039,2162,69432.92,30.0,383720.91,2395921,4978110,8493,121174,17,934037,95,351044.18,157,67641,341178.48,23802493.18,36
Ago/17,1936,0.0,27.0,12099344,83858,0,38099.58,115,489282,183,19,1136206.75,99831.04,0,2443122,507653.88,37630.0,47977.91,713.75,1,133245936,21448,1101229.71,272887.0,7,9.0,181,78.0,6486673.48,3060869,301989,16,100,7351223.52,15036,67554,2228,310482.37,22.2,264495.17,1018227,228806,12060,23612,16,8356420,80,317361.39,181,114441,422602.87,22320570.88,20
Sep/17,6830,0.0,23.0,27051,117743,0,150161.05,101,280377,172,22,2974003.8,78026.16,0,18187,25313.09,0.0,42843.79,1561.74,0,91324,23182,605468.74,272887.0,7,8.0,1989,81.0,1602091.88,2231355,393699,16,100,21894.16,0,28051,1448,67800.2,19.2,378225.34,1455366,108457575,9497,48236,20,866668,83,348863.49,73,173068,473844.82,13434950.05,22
Oct/17,5237,2797.5,30.0,146114,24067,400,133166.7,124,340285,165,24,2748439.94,37672.42,1,313,524.37,48578.23,35937.33,1345.02,4,116334428,25414,665243.22,258272.0,7,8.0,228,84.0,1403791.91,2911871,552213,18,62,426711.41,18501,54444,2711,206546.06,21.7,258297.74,913930,72763,3454,90859,21,1182016,97,666198.47,92,140900,569011.97,18729423.04,24
