@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R18,41-42,95,104,114,163,176,191,208,231,240,268,282,321-322,362,395,422,439,479,499,534,628,650,673,676,705,717,720,730,733,741,744,747,750,753,797,818,824,827,830,833,884,904,907-908,910,929'

@attribute NUM_OPERACIONES_6_lag11 numeric
@attribute VALOR_14_lag11 numeric
@attribute NUM_OPERACIONES_14_lag11 numeric
@attribute NUM_OPERACIONES_6_lag10 numeric
@attribute NUM_OPERACIONES_9_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute NUM_OPERACIONES_3_lag9 numeric
@attribute PESO_8_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute NUM_OPERACIONES_18_lag9 numeric
@attribute PIB_lag9 numeric
@attribute NUM_OPERACIONES_3_lag8 numeric
@attribute PESO_13_lag8 numeric
@attribute NUM_OPERACIONES_17_lag8 numeric
@attribute PESO_5_lag7 numeric
@attribute VALOR_5_lag7 numeric
@attribute NUM_OPERACIONES_18_lag7 numeric
@attribute PESO_4_lag6 numeric
@attribute PESO_13_lag6 numeric
@attribute NUM_OPERACIONES_18_lag6 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute p_mes_lag5 numeric
@attribute NUM_OPERACIONES_4_lag3 numeric
@attribute PESO_12_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute NUM_OPERACIONES_20_lag3 numeric
@attribute NUM_OPERACIONES_4_lag2 numeric
@attribute NUM_OPERACIONES_8_lag2 numeric
@attribute NUM_OPERACIONES_9_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute PESO_14_lag2 numeric
@attribute NUM_OPERACIONES_16_lag2 numeric
@attribute NUM_OPERACIONES_17_lag2 numeric
@attribute NUM_OPERACIONES_18_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute NUM_OPERACIONES_20_lag2 numeric
@attribute NUM_OPERACIONES_9_lag1 numeric
@attribute NUM_OPERACIONES_16_lag1 numeric
@attribute NUM_OPERACIONES_18_lag1 numeric
@attribute NUM_OPERACIONES_19_lag1 numeric
@attribute NUM_OPERACIONES_20_lag1 numeric
@attribute NUM_OPERACIONES_21_lag1 numeric
@attribute PESO_13_lag0 numeric
@attribute NUM_OPERACIONES_19_lag0 numeric
@attribute NUM_OPERACIONES_20_lag0 numeric
@attribute PESO_21_lag0 numeric
@attribute NUM_OPERACIONES_21_lag0 numeric
@attribute PESO_8_ahead5 numeric

@data
81,8862.19,6,114,38,476,2145,4799001,0,108,266884,2059,625,91,26,337.87,113,278474,0,99,360602,698,81.9,154,11907441,297,147,40,140,21,0,24064,8,36,55,39,22,37,95,94,267,137,173,0,317,180,8493,227,2461376
114,351.46,4,85,43,0,2059,8419038,625,102,266884,1839,5140,101,2941,15224.96,99,115982,698,92,284026.1,1308,49.2,40,13040,39,22,161,193,37,0,131,95,71,94,267,137,33,115,110,317,180,227,0,315,146,12060,183,2245553
85,349.55,4,127,35,625,1839,3696543,5140,113,266884,2076,0,89,1652,11947.06,92,313143,1308,94,437706.14,0,85.1,161,489,267,137,168,157,33,0,24080,115,108,110,317,180,37,97,111,315,146,183,0,315,138,9497,172,3284644
127,10695.62,4,81,47,5140,2076,1015856,0,99,282844,1611,698,96,5079,47108.25,94,208690,0,133,295760.41,0,22.1,168,12903,317,180,152,181,37,0,181,97,100,111,315,146,42,107,105,315,138,172,400,313,136,3454,165,3262054
81,1071.39,4,58,40,0,1611,1791627,698,92,282844,1790,1308,83,1570,17343.43,133,435797,0,55,261253.11,0,0,152,12125,315,146,164,73,42,0,1989,107,100,105,315,138,33,115,80,313,136,165,155,317,145,14195,184,4979809
58,311.28,4,159,36,698,1790,4960501,1308,94,282844,2113,0,121,7591,78989.22,55,537418,0,94,341178.48,0,0.1,164,8941,315,138,177,92,33,400,228,115,62,80,313,136,33,134,118,317,145,184,995,290,149,12591,152,2713864
159,373,5,88,26,1308,2113,2783273,0,133,267162,2302,0,36,2216,10769.69,94,344123,0,110,422602.87,0,1.5,177,17313,313,136,163,166,33,155,772,134,94,118,317,145,21,144,112,290,149,152,0,249,139,4755,185,2297289
88,10031.93,10,77,22,0,2302,3227532,0,55,267162,1561,0,71,1709,25163.58,110,301989,0,111,473844.82,0,1.7,163,53312,317,145,196,174,21,995,275,144,87,112,290,149,33,110,124,249,139,185,0,89,28,2274,32,2619213
77,235.58,4,100,21,0,1561,3549058,0,94,267162,2162,0,108,1936,8172.78,111,393699,0,105,569011.97,400,29,196,136925,290,149,164,139,33,0,22509,110,85,124,249,139,21,46,78,89,28,32,5,83,41,7599,37,1579299
100,9303.61,6,89,37,0,2162,2515941,0,110,272887,2228,0,100,6830,29019.03,105,552213,400,80,470981.75,155,121.1,164,17454,249,139,74,177,21,0,150,46,37,78,89,28,18,53,80,83,41,37,40,116,45,5505,37,2155474
89,432.21,5,72,33,0,2228,3655647,0,111,272887,1448,0,100,5237,25341.28,80,320805,155,118,348511.66,995,101.1,74,4399855,89,28,79,179,18,5,13287,53,38,80,83,41,16,55,99,116,45,37,500,71,42,29282,63,3589875
72,9145.16,5,115,37,0,1448,1589623,0,105,272887,2711,400,62,4012,18346.22,118,494276,995,112,355040.37,0,82,79,69,83,41,77,208,16,40,54799,55,54,99,116,45,15,48,68,71,42,63,1000,83,41,9806,33,2851378
